temperature,vibration,current,pressure,rpm,load,operating_hours,failure
71.12,0.6,30.39,9.8,1530,77.85,8318,1
36.83,2.07,11.98,9.56,1609,83.02,1311,0
61.8,2.4,30.1,9.37,1549,71.56,7109,1
31.3,0.57,30.01,9.51,1595,65.74,570,0
51.9,2.32,8.65,9.14,1500,46.77,5866,0
37.12,0.29,21.54,9.76,1517,55.48,3012,0
51.35,2.42,27.28,6.19,1532,60.9,3175,0
37.52,2.02,11.89,6.86,1671,94.05,4877,0
45.12,1.95,14.34,8.63,1621,68.04,2439,0
64.11,0.24,28.27,8.16,1575,81.28,1782,0
41.57,0.13,32.01,5.43,1609,72.25,7172,0
74.86,2.29,24.73,8.8,1528,69.52,3945,1
57.02,1.58,13.5,9.46,1692,56.47,5039,0
60.33,2.26,29.78,6.06,1545,44.11,3172,1
44.79,1.72,14.27,5.69,1562,60.88,1240,0
37.73,0.47,16.5,6.22,1569,90.34,1966,0
36.47,1.01,15.07,5.53,1631,83.7,6386,0
69.11,0.72,21.84,5.8,1547,53.12,8748,0
47.79,2.15,20.25,6.07,1631,62.07,1481,0
66.33,2.47,17.09,5.56,1619,68.31,3965,0
56.95,0.64,33.11,8.18,1673,39.41,3296,0
37.46,2.05,28.79,9.69,1768,58.48,8446,1
71.16,0.31,14.3,8.13,1674,39.55,4581,0
59.24,0.2,10.27,7.24,1469,78.67,7784,0
56.3,1.46,27.07,6.97,1734,99.9,195,1
63.76,1.41,10.06,9.67,1543,61.75,2609,0
32.95,1.51,34.45,8.94,1717,51.34,8352,1
37.91,1.69,25.72,7.39,1491,67.37,6028,0
63.2,1.06,31.01,9.05,1635,79.96,2338,0
45.85,1.89,21.12,8.93,1480,61.02,1166,0
63.11,1.42,30.08,8.43,1760,83.27,7601,1
49.49,1.45,32.5,5.1,1656,44.49,575,0
39.63,1.7,19.32,9.07,1744,57.1,3106,0
67.73,0.92,32.95,6.8,1685,84.84,7234,1
31.55,1.08,15.6,6.92,1470,88.79,4664,0
74.46,1.1,22.58,6.11,1467,91.93,3195,0
73.36,0.29,29.98,5.92,1723,58.44,7779,1
72.2,1.24,21.66,8.61,1621,55.85,4820,0
33.49,0.5,34.86,7.0,1785,97.27,7602,1
45.7,2.49,31.11,6.46,1501,69.78,4845,0
35.82,0.2,17.91,5.35,1736,61.23,4550,0
38.16,0.41,20.46,5.24,1470,48.83,7517,0
52.03,1.91,23.77,8.03,1617,80.38,7271,0
56.85,1.32,16.83,7.39,1697,49.17,5936,0
38.32,0.36,23.3,6.81,1753,40.81,6313,0
33.14,2.29,20.63,6.16,1637,35.34,5623,0
47.17,0.27,15.62,8.92,1644,73.33,4529,0
31.07,2.43,31.62,9.13,1549,42.8,4340,0
50.6,1.74,13.69,6.52,1720,67.9,4620,0
42.27,0.13,31.01,9.71,1717,56.04,8467,0
63.86,1.97,30.29,5.47,1780,42.91,3729,1
72.85,1.93,24.36,7.69,1781,73.88,6923,1
46.89,2.36,33.74,7.15,1463,46.78,8126,1
59.27,1.79,30.89,5.65,1743,52.62,2971,1
65.34,0.34,16.34,5.86,1464,50.44,6473,0
36.84,1.86,17.95,9.97,1748,81.52,8319,0
42.86,0.71,30.41,9.31,1689,83.06,7241,1
34.88,2.25,14.64,5.7,1614,74.5,6065,0
37.73,0.72,19.16,7.9,1516,93.64,2291,0
49.51,0.86,23.6,8.77,1670,97.47,3357,0
50.78,1.19,23.57,9.65,1683,84.08,7215,0
65.74,2.2,18.52,6.32,1555,53.27,4634,0
38.89,1.37,18.19,6.57,1467,42.95,700,0
64.12,0.56,8.71,8.95,1748,53.61,3210,0
59.63,2.13,20.22,9.02,1695,41.57,8672,1
38.2,1.51,25.8,5.84,1534,82.19,8296,1
31.49,2.49,24.38,5.25,1795,51.54,2798,0
35.05,0.84,31.57,8.17,1585,86.04,2797,0
31.78,0.84,21.42,8.54,1516,48.06,8000,0
52.75,0.11,15.3,7.65,1774,65.03,8540,0
51.73,1.21,16.83,7.23,1796,87.24,8083,0
35.64,0.33,28.48,5.41,1799,99.25,6071,0
60.66,0.45,14.21,6.81,1692,85.19,5864,0
65.4,1.09,34.08,7.06,1590,99.59,5961,1
71.23,1.77,11.78,5.77,1724,88.58,2878,1
31.54,0.75,19.65,9.33,1543,38.2,6972,0
36.01,0.41,34.42,5.32,1645,73.44,4161,0
36.47,1.55,31.03,6.32,1551,65.96,5269,0
69.37,2.27,33.06,8.79,1762,44.2,937,1
46.69,2.16,34.48,5.44,1482,49.37,7190,1
73.92,1.59,29.18,6.94,1460,77.62,7576,1
58.9,0.54,30.04,8.86,1594,82.88,7657,1
45.72,2.27,10.33,6.95,1482,63.81,7672,0
52.29,0.31,25.27,8.13,1586,97.74,6188,0
34.71,1.07,31.61,6.47,1659,80.84,1545,0
42.33,1.15,23.99,8.69,1553,63.17,5124,0
74.78,2.48,18.66,8.19,1784,46.2,6594,1
71.09,0.41,12.95,6.5,1677,49.74,3823,0
59.25,2.38,12.36,8.9,1485,68.5,5684,0
69.72,0.29,17.42,9.79,1720,50.98,7089,0
39.65,0.27,23.54,7.53,1454,73.38,630,0
52.87,0.36,29.59,7.0,1633,89.02,1278,0
40.57,0.66,16.96,8.67,1532,47.89,8451,0
38.08,2.47,17.16,8.28,1723,58.42,3854,0
68.36,1.95,27.08,9.63,1635,96.36,4768,1
32.07,0.67,11.69,7.55,1644,61.72,1924,0
59.66,0.38,18.67,9.78,1522,68.41,192,0
65.62,0.91,24.02,9.42,1687,86.22,7638,1
33.32,1.28,17.72,8.73,1798,40.54,5490,0
30.63,0.86,34.59,5.37,1621,40.28,7758,0
55.65,0.32,8.37,7.33,1723,71.3,5109,0
36.73,1.71,32.83,7.92,1746,63.88,8511,1
57.0,2.2,13.52,5.13,1454,35.95,7668,0
73.81,1.83,9.59,6.42,1563,89.92,1720,1
38.9,1.45,13.36,9.84,1592,41.44,492,0
52.63,0.22,24.87,5.9,1505,39.52,4268,0
46.7,1.46,21.78,7.92,1770,83.89,3938,0
42.54,1.16,28.23,9.05,1566,72.07,2494,0
41.17,0.51,17.86,7.51,1538,71.4,1421,0
50.77,1.41,20.38,5.34,1786,86.33,1644,0
58.75,1.36,18.37,6.39,1584,73.59,6692,1
47.52,2.19,29.9,7.08,1541,59.66,5840,0
58.53,2.47,12.62,5.06,1548,36.65,6677,1
64.86,0.68,32.06,7.67,1748,62.1,394,0
36.41,0.86,17.52,7.88,1736,58.14,1299,0
63.75,0.94,24.39,6.96,1765,48.0,5651,0
30.26,0.72,10.28,5.62,1577,67.39,8235,0
60.09,1.24,22.53,8.4,1490,53.88,3022,0
46.09,2.15,16.07,7.49,1661,44.78,608,0
41.46,0.12,15.11,8.02,1634,82.86,1373,0
57.15,0.97,11.7,9.62,1508,59.19,4330,0
30.48,0.41,22.07,6.16,1775,74.34,5948,0
42.76,0.22,20.77,7.53,1789,41.96,6590,0
38.84,0.4,11.59,9.91,1796,45.36,5191,0
31.09,0.44,8.35,6.84,1732,39.06,2830,0
30.44,1.81,21.06,8.73,1610,66.5,4265,0
65.58,0.26,30.33,9.04,1653,67.16,639,0
44.02,1.75,30.71,9.31,1797,89.79,5710,1
66.81,0.28,32.06,5.81,1671,96.75,8655,1
57.18,0.14,15.4,9.2,1570,94.14,2229,0
64.93,2.21,32.77,7.9,1590,56.84,3543,1
44.88,2.4,29.77,9.75,1606,61.18,4829,0
43.5,0.31,19.49,8.72,1665,51.0,8978,0
61.37,2.46,33.85,5.89,1705,67.23,2377,1
51.87,0.31,34.98,5.62,1654,38.57,1725,0
50.69,1.48,24.6,9.61,1680,86.17,6738,1
32.61,1.03,32.23,6.86,1583,91.83,5375,0
61.29,1.24,27.54,7.19,1509,49.46,1131,0
31.1,1.57,33.4,8.11,1589,69.7,7058,1
37.74,1.43,29.39,7.08,1511,36.98,8788,1
37.82,1.04,27.08,7.31,1689,56.81,3280,0
62.36,0.4,19.62,8.25,1766,73.37,4816,0
35.86,0.92,26.59,7.37,1551,47.39,5662,0
31.62,1.02,11.35,6.55,1458,89.71,7250,0
36.05,1.85,23.54,9.45,1634,63.46,5979,0
55.11,2.19,29.29,6.76,1784,83.2,974,1
54.82,2.39,28.86,5.1,1600,82.96,6125,1
65.33,0.16,16.3,7.0,1782,78.96,458,0
30.5,0.32,22.28,5.12,1579,91.92,5703,0
48.65,1.9,22.38,5.72,1659,68.59,6411,0
31.02,0.33,22.7,5.37,1556,79.77,1306,0
51.96,2.15,18.17,5.22,1534,58.13,2359,0
67.73,2.35,30.99,8.3,1522,93.06,8612,1
72.01,0.58,25.91,6.92,1551,39.01,6373,0
52.19,0.2,30.25,9.71,1791,79.2,490,0
68.7,2.44,28.64,9.11,1706,69.28,7719,1
36.44,1.71,28.82,8.61,1468,53.43,7213,1
56.38,1.37,28.76,6.22,1606,50.53,197,0
49.12,1.0,19.25,8.77,1580,52.53,752,0
66.0,1.81,27.71,6.48,1460,52.48,8542,1
34.05,0.86,8.5,8.77,1564,85.34,8779,0
71.91,1.29,26.2,7.83,1670,53.89,3080,0
38.81,2.23,24.44,7.05,1460,58.75,4470,0
36.15,0.19,10.02,6.6,1553,52.26,1341,0
39.45,2.15,33.16,9.15,1548,73.53,1599,0
53.06,1.28,21.09,9.17,1543,53.4,4417,0
74.93,1.66,20.92,5.37,1606,57.41,2547,0
43.46,1.17,30.5,5.56,1694,38.77,8129,0
52.61,0.77,8.7,6.93,1678,51.62,5088,0
51.32,0.33,13.36,5.54,1756,58.31,7073,0
46.82,0.76,21.88,8.02,1694,39.06,2118,0
31.37,2.38,26.73,9.85,1625,49.14,8665,1
72.39,1.05,25.99,9.05,1715,62.97,6491,0
41.47,2.11,15.86,7.27,1622,84.69,2452,0
33.8,1.73,18.63,5.13,1573,90.43,2968,0
33.51,1.32,16.43,5.91,1719,98.67,3356,0
72.49,0.65,23.93,9.56,1575,86.08,2013,0
45.26,1.75,11.62,5.87,1773,44.94,8018,0
32.1,2.35,27.68,7.2,1767,39.58,6590,1
66.85,0.14,33.24,8.51,1536,71.92,4552,0
50.76,1.71,32.21,8.09,1471,57.36,8033,1
63.7,0.19,13.55,9.13,1576,60.89,8512,0
65.84,1.9,23.24,8.5,1529,57.27,1375,0
73.26,1.0,9.86,5.66,1577,94.86,5196,0
49.3,0.53,13.56,8.52,1745,72.06,3007,0
43.47,2.2,32.73,5.05,1526,62.24,6243,0
54.93,1.98,31.61,8.12,1461,54.43,141,0
56.61,0.7,11.88,5.97,1774,87.83,8015,0
51.76,0.67,19.04,8.94,1478,40.57,3363,0
32.18,1.47,23.24,8.22,1664,37.81,1269,0
74.82,1.32,33.68,9.64,1739,88.27,1697,1
57.85,1.44,14.71,6.69,1722,93.0,7258,1
68.84,0.25,13.44,9.41,1495,96.5,4923,0
71.01,1.78,31.55,6.87,1659,49.24,8197,1
51.63,0.8,23.88,9.59,1778,80.47,5541,0
51.1,0.15,32.06,7.69,1524,38.89,3309,0
68.74,2.02,20.31,9.84,1510,75.99,1646,0
71.41,0.71,14.89,9.64,1572,96.11,4669,0
69.38,1.59,29.8,6.1,1751,79.57,2714,1
50.77,0.17,26.7,5.06,1759,76.65,1371,0
43.41,1.46,23.79,5.92,1546,77.94,8852,0
65.54,0.71,19.88,8.08,1557,81.8,505,0
58.06,1.31,11.92,7.96,1575,89.87,7362,1
60.21,0.74,25.99,8.09,1774,79.81,4204,0
52.52,0.76,17.62,5.04,1712,42.78,7608,0
35.47,0.77,26.15,5.91,1646,42.03,7960,0
72.15,2.42,13.55,9.54,1706,65.73,4615,0
55.79,0.84,14.36,9.8,1750,73.86,5380,0
44.01,2.46,30.67,6.68,1651,75.82,2920,0
46.91,1.39,16.36,6.45,1693,50.54,853,0
55.65,1.03,25.11,7.18,1634,56.4,4566,0
52.4,2.1,10.84,6.17,1609,75.56,5694,0
51.92,1.23,15.08,7.44,1515,72.33,4247,0
55.8,1.23,22.91,5.91,1467,36.68,7523,0
69.07,0.25,26.75,6.69,1495,53.85,2847,0
33.79,1.8,21.77,8.4,1742,47.04,4894,0
61.23,0.95,27.32,8.4,1657,66.31,5994,0
40.57,0.96,25.25,8.45,1575,99.85,2056,0
63.02,0.14,22.66,9.83,1739,52.46,4250,0
59.86,0.73,25.94,5.68,1603,62.31,6129,0
47.52,0.3,26.8,7.8,1589,59.56,2637,0
56.24,1.75,34.17,9.62,1561,70.44,2041,0
40.95,0.69,26.49,7.08,1709,49.64,199,0
42.15,1.65,33.77,8.9,1709,98.52,8247,1
41.15,1.87,29.08,8.07,1772,68.61,4141,0
45.19,1.99,22.08,9.98,1635,64.5,5886,0
68.59,2.14,25.62,5.34,1677,45.65,4360,1
55.87,1.48,13.62,5.37,1618,71.66,4841,0
47.98,1.08,24.37,9.15,1700,81.81,4829,0
37.36,1.76,14.71,8.03,1781,43.04,6413,0
57.56,0.8,33.34,7.88,1680,77.39,5433,0
45.42,2.07,12.43,8.02,1777,89.66,2239,0
30.31,2.34,17.41,5.19,1701,37.92,4636,0
38.32,0.93,32.28,9.43,1619,51.57,3046,0
65.99,0.99,33.43,8.0,1468,88.87,5104,1
38.63,0.87,28.37,7.24,1721,90.91,7475,1
35.95,2.12,11.19,8.93,1723,43.25,7858,0
39.37,0.39,23.07,9.37,1480,60.99,1198,0
65.46,0.37,32.05,6.97,1756,47.88,7024,1
69.13,0.49,17.6,8.69,1782,95.24,2950,0
57.77,1.82,20.81,6.5,1480,91.95,6079,0
46.25,2.41,22.54,9.2,1476,38.15,653,0
71.41,0.98,23.85,9.45,1509,92.75,4536,0
67.32,1.84,24.26,7.53,1536,66.5,7450,1
48.06,0.3,21.34,5.45,1537,84.42,4779,0
62.56,1.61,32.27,6.19,1565,87.22,1949,1
72.99,0.64,26.2,9.58,1527,47.97,562,0
59.47,0.83,8.48,5.32,1586,88.4,5334,0
54.49,1.91,30.75,5.65,1623,66.01,157,0
60.51,0.84,26.94,7.58,1550,64.94,6859,1
60.22,0.53,34.04,6.58,1566,64.21,1544,0
33.32,1.48,32.01,5.99,1647,93.94,5748,1
60.89,0.38,19.71,5.71,1693,73.25,8539,0
53.95,0.74,18.2,7.27,1479,69.93,2603,0
40.51,0.32,8.16,9.05,1788,55.14,3070,0
39.98,0.24,29.54,9.22,1660,72.26,177,0
74.48,1.17,29.43,7.6,1478,58.56,2135,0
40.92,1.5,30.62,6.2,1704,73.17,1561,0
33.39,0.59,16.89,9.95,1493,47.24,1743,0
63.79,1.12,20.99,9.58,1523,85.06,904,0
46.28,0.18,12.91,5.88,1469,74.15,4154,0
74.57,2.19,31.84,8.02,1688,67.64,7581,1
65.92,1.65,28.87,7.81,1730,54.1,7404,1
57.95,0.38,10.58,8.34,1451,95.21,2036,0
56.65,0.36,9.91,5.82,1477,97.25,345,0
43.54,1.08,34.93,8.38,1560,45.97,2932,0
68.91,1.52,28.88,5.96,1748,51.24,7388,1
48.74,1.93,28.0,6.98,1565,40.93,1264,0
47.3,1.61,18.01,8.08,1756,49.45,1495,0
41.82,1.65,20.3,6.9,1523,53.04,8029,0
67.42,2.12,16.61,8.04,1598,79.75,5473,0
52.54,0.52,33.38,6.53,1638,60.11,4596,0
36.48,1.72,26.93,5.08,1683,54.62,7457,1
69.44,0.5,25.19,9.95,1566,79.97,7893,1
33.39,2.06,23.2,8.3,1746,49.98,2287,0
49.83,1.15,26.78,6.52,1706,91.81,5980,0
49.03,0.12,21.32,5.76,1525,36.83,5419,0
50.33,2.45,27.2,9.65,1743,90.24,7848,1
46.26,1.35,12.1,9.98,1634,36.86,7493,0
30.81,0.86,30.21,9.28,1714,42.15,3823,0
36.94,1.93,14.83,9.16,1769,53.0,6906,0
74.58,0.78,21.78,7.2,1566,92.96,4316,0
42.65,0.73,19.12,6.92,1588,62.89,8275,0
38.58,1.56,26.92,8.3,1670,58.46,523,0
59.1,1.09,34.42,9.44,1655,46.79,4934,0
50.74,1.39,9.52,6.07,1628,46.41,5699,0
57.85,2.01,20.82,8.0,1469,64.03,6130,0
54.21,2.26,33.72,6.16,1714,41.64,2243,0
53.18,0.65,26.12,6.99,1636,92.92,2377,0
46.12,0.15,28.73,5.15,1550,71.14,4941,0
37.49,1.36,11.13,8.02,1697,82.79,7517,1
72.75,0.57,13.4,9.36,1785,40.86,1375,0
74.5,1.31,16.13,8.75,1786,78.12,5159,0
66.07,1.5,30.75,9.68,1798,74.28,2022,1
39.81,2.09,18.97,8.08,1467,60.91,7730,0
35.08,1.93,29.76,8.57,1647,55.32,2756,0
66.61,2.07,20.04,7.05,1768,91.19,5294,1
70.54,2.25,33.58,5.11,1479,86.97,3070,1
52.44,0.38,31.12,7.77,1710,88.63,8208,1
53.19,1.18,32.25,8.01,1543,79.52,4907,0
70.25,0.32,15.01,9.98,1769,39.02,7070,0
47.58,1.96,9.44,9.8,1685,87.09,3607,0
71.7,1.18,24.47,9.97,1746,80.42,3408,0
67.29,1.08,19.65,5.78,1694,98.9,4541,0
54.43,0.44,28.02,5.97,1494,55.88,8075,0
37.14,0.77,29.28,8.17,1599,44.05,1314,0
38.64,0.89,16.32,9.94,1718,59.97,4765,0
31.78,1.3,24.2,9.95,1550,49.03,8635,1
38.42,1.8,32.11,9.35,1600,44.42,8027,1
70.87,2.0,17.68,9.21,1725,50.58,1951,0
50.15,0.51,20.41,5.94,1481,66.86,7085,0
37.92,1.09,8.71,6.25,1656,54.98,8563,0
68.16,1.42,12.71,8.04,1475,52.08,1389,0
33.17,0.32,32.52,7.39,1775,85.1,4293,0
38.2,2.12,17.27,5.67,1684,68.38,5424,0
50.54,0.41,14.89,6.61,1615,39.69,4220,0
43.18,0.24,33.4,6.96,1714,87.79,7614,1
47.84,2.3,15.21,6.13,1799,42.75,8420,0
32.27,0.68,15.2,5.39,1465,92.37,3469,0
37.0,0.5,10.18,7.1,1548,45.56,5857,0
52.91,2.27,29.34,9.45,1765,63.12,2073,0
41.02,1.29,29.57,7.29,1793,93.36,7274,1
73.11,1.32,23.24,9.71,1582,52.32,7892,1
31.12,0.74,9.99,5.83,1770,85.16,4973,0
71.3,1.63,25.63,6.14,1760,72.19,6175,1
35.62,1.21,10.46,9.6,1509,37.76,1923,0
40.38,2.21,12.64,5.2,1493,76.72,3561,0
72.45,1.03,25.09,5.26,1487,81.95,1803,0
40.53,0.36,24.1,6.05,1646,53.65,6918,0
68.08,1.96,18.8,5.6,1536,53.3,4918,0
40.86,1.71,13.89,5.41,1602,70.04,520,0
43.23,0.28,29.06,9.28,1547,52.74,1292,0
46.88,0.31,13.4,9.96,1771,68.74,8300,0
51.72,0.64,13.46,6.47,1615,58.68,6498,0
39.11,0.19,14.42,8.1,1766,86.32,7847,0
71.71,0.51,29.71,7.98,1728,95.75,8009,1
74.09,1.21,26.63,9.75,1551,79.5,3164,0
35.15,0.68,12.18,7.07,1460,47.89,4528,0
72.04,1.04,33.05,9.93,1605,79.24,2148,0
67.29,0.34,33.25,9.61,1546,57.0,246,0
44.7,0.18,13.08,6.36,1458,43.56,1019,0
66.5,0.85,10.08,6.89,1480,53.39,6172,0
44.9,0.54,13.14,8.44,1487,76.52,4871,0
56.45,0.82,29.02,7.36,1486,79.51,6844,0
64.25,0.41,19.02,5.91,1765,64.06,1678,0
44.4,2.43,27.9,7.39,1707,76.08,6396,0
66.13,0.32,15.13,5.71,1718,50.91,8054,0
46.27,1.89,33.72,6.44,1614,70.21,885,0
42.57,1.53,30.51,6.9,1505,81.27,1700,0
48.31,0.95,28.77,8.06,1560,62.42,4250,0
42.24,0.56,12.92,7.51,1548,88.45,7157,0
60.81,2.0,8.35,8.21,1694,53.84,8135,1
56.99,1.33,10.19,6.05,1664,59.96,7847,0
43.0,1.6,27.02,6.43,1601,66.33,1117,0
74.69,0.63,30.24,8.72,1593,36.95,4938,0
65.74,1.29,21.78,9.14,1654,94.94,217,0
57.5,0.27,16.09,9.49,1631,95.39,5191,0
54.07,0.33,17.27,5.68,1768,52.36,3225,0
72.54,1.04,30.31,6.76,1557,79.26,4482,0
46.01,2.19,25.39,9.65,1733,56.87,6407,0
50.79,0.97,33.13,6.21,1691,35.43,389,0
53.59,1.03,29.78,6.87,1791,84.32,3324,0
40.9,2.31,11.97,5.44,1730,91.48,7931,1
61.02,1.48,28.77,7.12,1725,89.56,315,1
67.48,2.44,34.22,9.48,1745,89.48,281,1
66.9,0.23,15.0,8.72,1468,56.03,6814,0
64.89,0.21,11.57,6.74,1689,37.89,2236,0
46.5,2.24,32.14,8.53,1733,41.23,2979,0
43.61,2.3,22.21,7.96,1541,54.57,732,0
31.22,1.8,23.53,7.06,1535,55.82,6355,0
61.6,1.68,23.71,5.24,1617,37.18,6289,0
38.13,2.21,23.81,9.15,1595,46.6,4026,0
69.43,1.93,26.05,6.1,1463,66.94,5500,1
70.4,1.06,16.94,9.05,1650,35.7,8654,0
54.03,1.56,30.42,5.66,1777,51.49,390,0
43.62,2.06,24.61,6.24,1720,89.63,3251,1
70.07,1.12,33.77,6.13,1499,87.45,2765,1
64.43,1.09,29.9,9.74,1725,80.24,2037,0
38.91,1.82,11.66,9.48,1486,37.7,6055,0
36.38,2.3,24.59,5.21,1548,55.99,1031,0
49.76,0.29,15.29,6.83,1743,63.25,2837,0
67.03,1.05,33.23,8.91,1695,63.99,4998,0
44.62,1.38,14.07,7.28,1672,63.61,7666,0
51.72,2.21,33.99,8.17,1726,35.35,6495,0
38.17,1.44,22.82,7.45,1532,40.48,6617,0
49.94,2.41,11.44,6.6,1638,75.49,3353,0
45.33,0.43,16.27,9.8,1593,46.03,2813,0
54.54,2.12,15.84,6.82,1541,46.55,5040,0
45.97,2.43,32.86,6.48,1538,93.84,5739,1
58.77,1.56,13.28,6.03,1728,67.25,2002,0
43.1,2.22,25.29,6.11,1477,50.95,499,0
48.95,0.74,28.13,5.24,1754,77.54,8276,0
41.59,2.44,11.62,9.42,1682,96.33,2900,0
73.28,0.12,34.57,5.8,1600,80.55,3898,0
65.38,2.17,22.53,8.99,1606,96.72,5877,1
51.25,2.39,27.01,7.75,1732,88.62,8456,1
32.84,1.16,27.72,9.76,1778,76.33,5740,0
59.72,0.18,29.83,5.1,1455,85.15,6188,1
35.53,0.16,34.13,7.83,1774,70.77,4564,0
39.06,1.62,34.2,9.31,1484,88.88,6043,1
67.69,2.26,10.25,8.11,1517,43.31,5361,0
72.28,0.46,10.14,7.58,1683,82.42,4615,0
41.11,0.77,26.99,7.72,1694,76.64,501,0
62.54,2.43,28.27,7.95,1513,99.72,1130,1
52.68,0.33,22.98,7.37,1760,84.55,5671,0
41.95,0.59,25.37,6.16,1468,95.32,8862,1
70.1,0.64,23.08,6.42,1594,46.93,8539,0
67.85,1.09,16.65,5.45,1543,81.6,5835,0
57.9,0.43,16.22,9.0,1510,58.76,5704,0
60.32,2.04,10.75,5.77,1604,52.3,8417,1
45.67,0.69,28.13,5.1,1532,99.4,3039,0
50.18,1.39,16.53,8.74,1548,92.2,158,0
72.03,1.78,25.63,5.71,1501,72.35,3463,1
67.57,2.1,8.61,5.39,1781,69.78,7393,1
56.45,2.37,29.72,8.47,1580,77.49,5037,0
62.62,2.14,18.27,7.01,1671,48.88,4788,0
68.13,0.24,26.07,6.25,1450,69.55,7107,1
56.4,0.21,11.03,8.71,1529,36.71,2961,0
46.34,2.27,8.59,8.58,1516,51.17,3305,0
56.99,0.44,18.26,6.49,1493,52.49,3350,0
42.47,0.15,9.26,5.95,1619,87.47,1003,0
41.27,2.13,31.5,5.35,1743,85.82,2546,1
37.36,2.37,10.4,6.75,1508,50.53,4297,0
42.26,0.47,29.85,7.78,1657,94.67,6894,1
63.54,2.34,28.5,5.4,1713,49.13,8890,1
52.04,1.57,15.26,7.37,1682,81.35,3032,0
32.38,0.58,10.58,5.81,1670,95.8,2314,0
46.74,0.19,15.92,8.85,1694,91.59,5425,0
58.65,1.09,16.67,7.78,1673,59.91,6652,0
44.13,2.08,21.43,9.76,1796,46.24,152,0
34.55,1.15,19.73,7.9,1706,43.58,3614,0
42.71,1.43,18.69,7.94,1685,40.44,2663,0
54.6,1.62,26.77,6.01,1722,73.79,5605,0
34.42,2.26,34.48,8.04,1585,93.51,3625,1
65.73,2.14,19.97,5.18,1498,99.18,5499,1
64.58,2.13,8.93,6.73,1792,78.97,6240,0
32.77,1.22,9.57,8.31,1777,84.71,321,0
70.66,1.61,33.64,8.09,1565,95.78,2556,1
44.79,0.42,28.0,5.47,1665,71.63,5541,0
62.33,0.42,17.51,5.49,1676,96.15,3188,0
48.77,1.59,25.42,9.59,1793,59.22,7318,1
61.4,1.49,14.08,7.6,1681,92.98,390,1
57.63,1.98,9.91,8.47,1703,75.06,8202,0
32.09,1.87,15.2,7.81,1800,85.23,4922,0
53.62,1.39,15.52,8.12,1613,97.32,7539,1
74.14,1.17,19.86,5.48,1563,88.58,5370,0
61.45,0.53,10.02,8.9,1532,90.03,7805,1
61.12,0.75,32.53,9.3,1552,72.08,1712,0
32.18,0.59,10.83,9.44,1794,41.67,1208,0
30.31,0.38,20.7,5.02,1603,68.69,7301,0
55.89,1.14,34.08,7.59,1550,76.69,8017,0
42.29,0.79,23.66,7.81,1516,42.23,8558,0
69.45,0.14,11.13,6.47,1785,80.76,317,0
59.62,0.23,25.82,6.97,1655,68.99,2559,0
